Ace of Hearts,14,1,
Ace of Spades,14,2,
Ace of Clubs,14,3,
Ace of Diamonds,14,4,
King of Hearts,13,1,
King of Spades,13,2,
King of Clubs,13,3,
King of Diamonds,13,4,
Queen of Hearts,12,1,
Queen of Spades,12,2,
Queen of Clubs,12,3,
Queen of Diamonds,12,4,
Jack of Hearts,11,1,
Jack of Spades,11,2,
Jack of Clubs,11,3,
Jack of Diamonds,11,4,
Ten of Hearts,10,1,
Ten of Spades,10,2,
Ten of Clubs,10,3,
Ten of Diamonds,10,4,
Nine of Hearts,9,1,
Nine of Spades,9,2,
Nine of Clubs,9,3,
Nine of Diamonds,9,4,
Eight of Hearts,8,1,
Eight of Spades,8,2,
Eight of Clubs,8,3,
Eight of Diamonds,8,4,
Seven of Hearts,7,1,
Seven of Spades,7,2,
Seven of Clubs,7,3,
Seven of Diamonds,7,4,
Six of Hearts,6,1,
Six of Spades,6,2,
Six of Clubs,6,3,
Six of Diamonds,6,4,
Five of Hearts,5,1,
Five of Spades,5,2,
Five of Clubs,5,3,
Five of Diamonds,5,4,
Four of Hearts,4,1,
Four of Spades,4,2,
Four of Clubs,4,3,
Four of Diamonds,4,4,
Three of Hearts,3,1,
Three of Spades,3,2,
Three of Clubs,3,3,
Three of Diamonds,3,4,
Two of Hearts,2,1,
Two of Spades,2,2,
Two of Clubs,2,3,
Two of Diamonds,2,4,
